,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,68.84907054901123,1.1082026958465576,0.11987149715423584,0.012663722038269043,2,0,0,"{'max_depth': 2, 'reg_alpha': 0, 'reg_lambda': 0}",0.36616,0.36216,0.36416,0.0020000000000000018,51
1,70.26103103160858,0.04986393451690674,0.11295151710510254,0.0036764144897460938,2,0,0.5,"{'max_depth': 2, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.36872,0.36792,0.36832,0.0003999999999999837,46
2,70.77770900726318,0.6305630207061768,0.11112749576568604,0.0022104978561401367,2,0,1,"{'max_depth': 2, 'reg_alpha': 0, 'reg_lambda': 1}",0.37072,0.36576,0.36824,0.00248000000000001,47
3,74.4204729795456,1.0948439836502075,0.11731410026550293,0.004589080810546875,2,0.5,0,"{'max_depth': 2, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.36896,0.36488,0.36692,0.002040000000000014,49
4,78.20319998264313,1.391360878944397,0.12299752235412598,0.001951456069946289,2,0.5,0.5,"{'max_depth': 2, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.37056,0.3696,0.37007999999999996,0.0004800000000000082,40
5,80.77220046520233,0.6815875768661499,0.12847256660461426,0.0016775131225585938,2,0.5,1,"{'max_depth': 2, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.36984,0.37168,0.37076,0.0009200000000000041,36
6,82.82126092910767,0.716088056564331,0.1313074827194214,0.002949357032775879,2,1,0,"{'max_depth': 2, 'reg_alpha': 1, 'reg_lambda': 0}",0.37296,0.36864,0.3708,0.0021599999999999953,35
7,84.78595221042633,0.49423301219940186,0.13546335697174072,0.0012165307998657227,2,1,0.5,"{'max_depth': 2, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.37184,0.36928,0.37056,0.0012800000000000034,38
8,86.74466049671173,1.527398705482483,0.13801658153533936,0.0015903711318969727,2,1,1,"{'max_depth': 2, 'reg_alpha': 1, 'reg_lambda': 1}",0.3716,0.37264,0.37212,0.0005200000000000204,26
9,129.04869711399078,1.1703649759292603,0.1796964406967163,0.0013915300369262695,3,0,0,"{'max_depth': 3, 'reg_alpha': 0, 'reg_lambda': 0}",0.36368,0.36736,0.36552,0.0018400000000000083,50
10,131.1631294488907,0.5338073968887329,0.1991429328918457,0.0048770904541015625,3,0,0.5,"{'max_depth': 3, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.36952,0.36808,0.3688,0.0007199999999999984,45
